title,type,tmdb_id,movie_runtime_minutes,episodes_total,total_seasons,episode_run_time,tv_minutes_total,rating_stars
"LSD: Love, Sex Aur Dhokha",Movie,35687.0,108.0,,,,,6.182
Mission Istaanbul: Darr Ke Aagey Jeet Hai,Movie,,,,,,,
Once Upon a Time in Mumbaai,Movie,42966.0,132.0,,,,,6.665
Once Upon a Time in Mumbai Dobaara!,Movie,208540.0,160.0,,,,,5.1
Ragini MMS,Movie,1388905.0,0.0,,,,,0.0
Ragini MMS 2,Movie,260266.0,120.0,,,,,4.8
SAS: Rise of the Black Swan,Movie,595743.0,120.0,,,,,5.8
Shootout at Lokhandwala,Movie,20742.0,145.0,,,,,6.1
Shor In the City,Movie,61203.0,107.0,,,,,6.1
The Dirty Picture,Movie,81273.0,144.0,,,,,6.202
"Bob Ross: Happy Accidents, Betrayal & Greed",Movie,853354.0,92.0,,,,,6.777
Really Love,Movie,665894.0,95.0,,,,,6.5
The November Man,Movie,254904.0,108.0,,,,,6.113
The Old Ways,Movie,752505.0,90.0,,,,,6.7
The River Runner,Movie,858054.0,86.0,,,,,6.1
The Water Man,Movie,346687.0,92.0,,,,,6.1
Count Me In,Movie,783820.0,81.0,,,,,6.9
Untold: Caitlyn Jenner,Movie,857731.0,69.0,,,,,6.5
Boomika,Movie,861818.0,122.0,,,,,5.7
Boomika (Hindi),Movie,,,,,,,
Boomika (Malayalam),Movie,,,,,,,
Boomika (Telugu),Movie,,,,,,,
The Witcher: Nightmare of the Wolf,Movie,666243.0,83.0,,,,,7.442
Gunshot,Movie,1212307.0,143.0,,,,,7.0
Man in Love,Movie,258313.0,122.0,,,,,7.2
Sweet Girl,Movie,619297.0,110.0,,,,,6.608
The Loud House Movie,Movie,410113.0,83.0,,,,,7.3
A Faraway Land,Movie,863103.0,101.0,,,,,4.4
Like Crazy,Movie,60420.0,90.0,,,,,6.359
Black Island,Movie,398716.0,60.0,,,,,6.0
Bombay,Movie,550868.0,70.0,,,,,0.0
Memories of a Murderer: The Nilsen Tapes,Movie,852851.0,84.0,,,,,5.911
Nneka The Pretty Serpent,Movie,862280.0,141.0,,,,,3.9
O Kadhal Kanmani,Movie,329135.0,139.0,,,,,6.956
Out of my league,Movie,790525.0,104.0,,,,,6.0
Pahuna,Movie,1221212.0,0.0,,,,,0.0
The Secret Diary of an Exchange Student,Movie,760154.0,96.0,,,,,6.5
Untold: Deal With the Devil,Movie,857729.0,77.0,,,,,6.9
Walk of Shame,Movie,187596.0,95.0,,,,,5.963
The Piano,Movie,713.0,120.0,,,,,7.4
Unroyal,Movie,861653.0,97.0,,,,,4.5
Beckett,Movie,597433.0,109.0,,,,,6.187
Lokillo: Nothing's the Same,Movie,857910.0,64.0,,,,,7.1
Monster Hunter: Legends of the Guild,Movie,851281.0,58.0,,,,,5.68
Brother Jekwu,Movie,860098.0,102.0,,,,,0.0
La diosa del asfalto,Movie,572637.0,126.0,,,,,6.7
Misha and the Wolves,Movie,776552.0,90.0,,,,,6.853
The Kissing Booth 3,Movie,727745.0,112.0,,,,,6.871
The Railway Man,Movie,127560.0,116.0,,,,,6.8
Untold: Malice at the Palace,Movie,857497.0,69.0,,,,,7.126
Quartet,Movie,121826.0,98.0,,,,,6.5
Slay,Movie,822965.0,93.0,,,,,6.0
Takizawa Kabuki ZERO 2020 The Movie,Movie,859323.0,140.0,,,,,0.0
The Paper Tigers,Movie,731738.0,108.0,,,,,6.8
Quam's Money,Movie,854291.0,114.0,,,,,3.8
The Swarm,Movie,46878.0,116.0,,,,,5.0
Vivo,Movie,449406.0,96.0,,,,,7.3
Chennai Express,Movie,205022.0,141.0,,,,,6.497
City of God: 10 Years Later,Movie,300605.0,69.0,,,,,6.8
Esperando la carroza,Movie,13651.0,87.0,,,,,8.0
Lady Boss: The Jackie Collins Story,Movie,801646.0,96.0,,,,,6.2
Tango Feroz,Movie,73857.0,124.0,,,,,6.163
'76,Movie,412186.0,118.0,,,,,6.1
Aftermath,Movie,188839.0,92.0,,,,,4.7
American Masters: Inventing David Geffen,Movie,,,,,,,
Heavy,Movie,22621.0,105.0,,,,,6.6
Ije: The Journey,Movie,290768.0,106.0,,,,,6.0
